stock,price down,stock price at N,time N,stock price at M,time M,closing price now
ADNT,-5.700052727641684,40.130001068115234,"02/24/2021, 15:57:00",36.93000030517578,"02/24/2021, 09:30:00",39.91999816894531
AFI,-5.617175832782176,4.110000133514404,"02/24/2021, 13:39:00",3.7699999809265137,"02/24/2021, 10:48:00",4.050000190734863
AAN,-5.310643579364582,22.110000610351562,"02/24/2021, 15:59:00",20.440000534057617,"02/24/2021, 10:07:00",22.110000610351562
AA,-4.793901416947414,27.290000915527344,"02/24/2021, 15:39:00",25.34000015258789,"02/24/2021, 09:30:00",27.200000762939453
AG,-4.709376928083229,20.295000076293945,"02/24/2021, 12:03:00",18.889999389648438,"02/24/2021, 09:35:00",20.100000381469727
AER,-4.483372469100577,51.53499984741211,"02/24/2021, 12:10:00",48.209999084472656,"02/24/2021, 09:31:00",49.95000076293945
ADT,-4.2566606814935115,10.3100004196167,"02/24/2021, 15:16:00",9.720000267028809,"02/24/2021, 10:06:00",10.25
AHT,-4.175471440938047,4.149400234222412,"02/24/2021, 12:28:00",3.809999942779541,"02/24/2021, 09:34:00",3.9749999046325684
ADS,-3.8880726306720375,95.94999694824219,"02/24/2021, 12:09:00",90.87999725341797,"02/24/2021, 09:38:00",94.91999816894531
AGI,-3.8583577817051165,7.815000057220459,"02/24/2021, 15:07:00",7.389999866485596,"02/24/2021, 09:35:00",7.78000020980835
AC,-3.8473445079851465,36.88999938964844,"02/24/2021, 14:45:00",35.0,"02/24/2021, 09:30:00",36.029998779296875
AI,-3.744522962422488,125.09989929199219,"02/24/2021, 12:42:00",118.58000183105469,"02/24/2021, 10:13:00",122.54000091552734
AGS,-3.7028580087400624,8.399999618530273,"02/24/2021, 09:47:00",8.020000457763672,"02/24/2021, 13:53:00",8.0600004196167
AAT,-3.651858614273515,32.86000061035156,"02/24/2021, 11:29:00",31.65999984741211,"02/24/2021, 09:30:00",32.68000030517578
ACB,-3.5669492310918565,11.758899688720703,"02/24/2021, 12:09:00",11.050000190734863,"02/24/2021, 09:37:00",11.640000343322754
AES,-3.4918710057722926,28.280000686645508,"02/24/2021, 12:02:00",27.2549991607666,"02/24/2021, 09:30:00",28.0
ABR,-3.4736158150116774,16.969999313354492,"02/24/2021, 15:59:00",16.270000457763672,"02/24/2021, 09:37:00",16.969999313354492
AEM,-3.4564841965126143,61.939998626708984,"02/24/2021, 12:38:00",59.29999923706055,"02/24/2021, 09:36:00",61.619998931884766
AGRO,-3.440094322119722,8.430000305175781,"02/24/2021, 15:59:00",8.140000343322754,"02/24/2021, 09:30:00",8.430000305175781
ACA,-3.422230003750533,68.37000274658203,"02/24/2021, 15:54:00",65.4000015258789,"02/24/2021, 09:33:00",68.06999969482422
ACH,-3.420687064585708,11.949999809265137,"02/24/2021, 12:09:00",11.444999694824219,"02/24/2021, 09:38:00",11.930000305175781
AHC,-3.367114668058516,2.2200000286102295,"02/24/2021, 13:22:00",2.130000114440918,"02/24/2021, 09:30:00",2.180000066757202
AGO,-3.282188511357058,44.970001220703125,"02/24/2021, 09:57:00",43.310001373291016,"02/24/2021, 09:37:00",43.959999084472656
AHH,-3.2672824747875895,13.59000015258789,"02/24/2021, 15:51:00",13.100000381469727,"02/24/2021, 09:30:00",13.369999885559082
AEL,-3.265942847294966,28.760000228881836,"02/24/2021, 09:34:00",27.690000534057617,"02/24/2021, 10:54:00",27.950000762939453
ACM,-3.236053945172927,60.25,"02/24/2021, 12:56:00",58.130001068115234,"02/24/2021, 10:09:00",59.880001068115234
ABBV,-3.180113552924825,109.43000030517578,"02/24/2021, 13:57:00",105.7300033569336,"02/24/2021, 09:30:00",108.66999816894531
AGX,-3.0958806998414365,51.2599983215332,"02/24/2021, 15:59:00",49.67110061645508,"02/24/2021, 10:23:00",51.2599983215332
AGCO,-3.089419825371185,129.89500427246094,"02/24/2021, 15:59:00",125.6500015258789,"02/24/2021, 10:14:00",129.89500427246094
ABG,-3.032348471145059,170.99000549316406,"02/24/2021, 15:51:00",165.80499267578125,"02/24/2021, 10:13:00",170.27000427246094
